,speed,accel,hand,
"('baby peach', 'biddybuggy', 'roller', 'Clouds*')",3,-2,-2.25,Y
"('baby peach', 'biddybuggy', 'roller', 'Peach Parasol*')",3,-2,-2.25,Y
"('baby peach', 'pipe frame', 'roller', 'Clouds*')",2.75,-1.75,-2.25,Y
"('baby peach', 'pipe frame', 'roller', 'Peach Parasol*')",2.75,-1.75,-2.25,Y
"('baby peach', 'biddybuggy', 'roller', 'Super Glider*')",2.75,-1.75,-2.25,Y
"('baby peach', 'biddybuggy', 'roller', 'Wario*')",2.75,-1.75,-2.25,Y
"('baby peach', 'pipe frame', 'roller', 'Super Glider*')",2.5,-1.5,-2.25,Y
"('baby peach', 'pipe frame', 'roller', 'Wario*')",2.5,-1.5,-2.25,Y
"('baby peach', 'biddybuggy', 'slim', 'Clouds*')",2.25,-1,-2.25,Y
"('baby peach', 'biddybuggy', 'slim', 'Peach Parasol*')",2.25,-1,-2.25,Y
"('baby peach', 'pipe frame', 'slim', 'Clouds*')",2,-0.75,-2.25,Y
"('baby peach', 'pipe frame', 'slim', 'Peach Parasol*')",2,-0.75,-2.25,Y
"('baby peach', 'biddybuggy', 'slim', 'Super Glider*')",2,-0.75,-2.25,Y
"('baby peach', 'biddybuggy', 'slim', 'Wario*')",2,-0.75,-2.25,Y
"('baby peach', 'pipe frame', 'slim', 'Super Glider*')",1.75,-0.5,-2.25,Y
"('baby peach', 'pipe frame', 'slim', 'Wario*')",1.75,-0.5,-2.25,Y
"('lemmy', 'biddybuggy', 'roller', 'Clouds*')",3,-2.25,-2,Y
"('lemmy', 'biddybuggy', 'roller', 'Peach Parasol*')",3,-2.25,-2,Y
"('lemmy', 'pipe frame', 'roller', 'Clouds*')",2.75,-2,-2,Y
"('lemmy', 'pipe frame', 'roller', 'Peach Parasol*')",2.75,-2,-2,Y
"('lemmy', 'biddybuggy', 'roller', 'Super Glider*')",2.75,-2,-2,Y
"('lemmy', 'biddybuggy', 'roller', 'Wario*')",2.75,-2,-2,Y
"('lemmy', 'pipe frame', 'roller', 'Super Glider*')",2.5,-1.75,-2,Y
"('lemmy', 'pipe frame', 'roller', 'Wario*')",2.5,-1.75,-2,Y
"('baby peach', 'landship', 'roller', 'Clouds*')",2.75,-1.75,-2,N
